Source: https://www.indexmundi.com/energy/?region=eu&product=oil&graph=production

year	production	change
1980	2,727.50	NA
1981	2,922.10	7.13 %
1982	3,269.30	11.88 %
1983	3,681.40	12.61 %
1984	3,931.20	6.79 %
1985	4,073.10	3.61 %
1986	4,197.07	3.04 %
1987	4,227.07	0.71 %
1988	4,161.25	-1.56 %
1989	4,071.95	-2.15 %
1990	4,218.85	3.61 %
1991	4,504.24	6.76 %
1992	12,509.22	177.72 %
1993	11,832.96	-5.41 %
1994	12,031.62	1.68 %
1995	12,162.32	1.09 %
1996	12,422.22	2.14 %
1997	12,508.83	0.70 %
1998	12,398.52	-0.88 %
1999	12,673.42	2.22 %
2000	12,940.72	2.11 %
2001	13,363.01	3.26 %
2002	13,812.31	3.36 %
2003	14,263.11	3.26 %
2004	14,606.61	2.41 %
2005	14,359.11	-1.69 %
2006	14,139.11	-1.53 %
2007	14,082.91	-0.40 %
2008	13,756.00	-2.32 %
2009	13,651.30	-0.76 %
2010	13,541.71	-0.80 %
2011	13,274.30	-1.97 %
2012	13,111.91	-1.22 %
