Source: https://www.indexmundi.com/energy/?region=eu&product=kerosene&graph=production

year	production	change
1980	146.00	NA
1981	130.00	-10.96 %
1982	130.00	0.00 %
1983	126.00	-3.08 %
1984	133.20	5.71 %
1985	148.70	11.64 %
1986	155.70	4.71 %
1987	161.80	3.92 %
1988	162.60	0.49 %
1989	138.20	-15.01 %
1990	151.60	9.70 %
1991	130.20	-14.12 %
1992	210.70	61.83 %
1993	217.80	3.37 %
1994	186.80	-14.23 %
1995	158.30	-15.26 %
1996	138.20	-12.70 %
1997	136.80	-1.01 %
1998	135.20	-1.17 %
1999	144.00	6.51 %
2000	136.70	-5.07 %
2001	132.10	-3.37 %
2002	140.70	6.51 %
2003	179.50	27.58 %
2004	226.00	25.91 %
2005	219.70	-2.79 %
2006	217.49	-1.01 %
2007	210.04	-3.42 %
2008	194.94	-7.19 %
2009	200.44	2.82 %
2010	215.60	7.56 %
2011	229.99	6.67 %
2012	267.89	16.48 %
